"Burundi"	"BDI"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-584701.6926"	"-31593.77819"	"-465213.1473"	"-3251690.822"	"-348404.5346"	"-780582.0036"	"-3354999.181"	"-604919.6515"	"-6718064.165"	""
"Belgium"	"BEL"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-1139201857"	"-8688143202"	"-13095644187"	"28771398068"	"-55207149201"	"-54788969279"	"-22211179538"	"12813079255"	"-22196719398"	""
"Benin"	"BEN"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-53428819.13"	"-54929323.53"	"-261336701.3"	"-173827794.6"	"-103099138.9"	"-194717291.1"	"-101441761.9"	"-241229097"	""	""
"Burkina Faso"	"BFA"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-34347098.01"	"-34500556.94"	"-336931341.5"	"-103839781.7"	"-71077878.92"	"-38150366.72"	""	""	""	""
"Bangladesh"	"BGD"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-758530217.4"	"-728615341.7"	"-650180628.5"	"-1023431798"	"-804456857.7"	"-858448052.8"	"-1182833050"	"-1472651515"	"-1497759298"	""
"Bulgaria"	"BGR"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-4004786052"	"-7582756076"	"-12903082289"	"-9179244610"	"-3535417639"	"-1285676036"	"-1638723488"	"-1026167347"	"-1252275554"	""
"Bahrain"	"BHR"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"86771034.28"	"-1934606677"	"-87163578.61"	"-173519631.1"	"-2048638923"	"178271544"	"112765957.4"	"31117021.28"	"63563829.79"	""
"Bahamas The"	"BHS"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-563414700"	"-706380000"	"-713350000"	"-860156197"	"-663960000"	"-871970000"	"-666621000"	"-526171000"	"-382252000"	""
"Bosnia and Herzegovina"	"BIH"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-607373915.4"	"-764131962.5"	"-1777373275"	"-965405030.8"	"-231998611.5"	"-362660381.9"	"-476436501.7"	"-333364821.1"	"-292703150.3"	""
"Belarus"	"BLR"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-304100000"	"-354100000"	"-1792100000"	"-2157300000"	"-1774200000"	"-1342800000"	"-3876900000"	"-1308100000"	"-1983900000"	""
"Belize"	"BLZ"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-125927475.8"	"-108256902.2"	"-139387819.3"	"-166910700.1"	"-108378836"	"-95328799.77"	"-94715507.95"	"-193325682.3"	"-88601085.42"	""
"Bermuda"	"BMU"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"200070000"	"-512299998.1"	"151362971.9"	"81724155.04"	"-236611007.8"	"-78844721.36"	"192813471.5"	"-4328580.312"	""
"Bolivia"	"BOL"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"241620000"	"-277763457"	"-363294241.5"	"-509335605.2"	"-420040000"	"-650803350.5"	"-858666303.7"	"-1059965391"	"-1749612614"	""
