"Burundi"	"BDI"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"60801764.34"	"58676450.91"	"58836291.5"	"69648172.76"	"68414018.28"	"101236293.9"	"123982004.7"	"134698608.2"	"90927035.88"	""
"Belgium"	"BEL"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"228049000000"	"246876000000"	"287771000000"	"320700000000"	"247025000000"	"269425000000"	"322842000000"	"301772000000"	"321029000000"	""
"Benin"	"BEN"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"578113018.1"	"735458546.5"	"1046759380"	"1282182361"	"1224565413"	"1281533308"	"1250806028"	"1442622239"	""	""
"Burkina Faso"	"BFA"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"480859372.2"	"607161991"	"654773106.3"	"857625039.5"	"900168023.3"	"1590976293"	""	""	""	""
"Bangladesh"	"BGD"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"9732374205"	"11543392855"	"13028248268"	"15558163152"	"15477032394"	"21081692868"	"25626286048"	"25428059196"	"28622384819"	""
"Bulgaria"	"BGR"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"11790949973"	"15154046460"	"19533494152"	"22503649095"	"16379999294"	"20583790669"	"28248186219"	"26677735024"	"29519619016"	""
"Bahrain"	"BHR"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10242021277"	"12200000000"	"13633510638"	"17315691489"	"11873670213"	"13647074468"	"19650265957"	"19768085106"	"20926595745"	""
"Bahamas The"	"BHS"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"549132570"	"703540000"	"801874138.3"	"955822000"	"710680000"	"702435000"	"833539000"	"984017000"	"909301000"	""
"Bosnia and Herzegovina"	"BIH"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2555319693"	"3381442075"	"1967903911"	"2559701956"	"2298742372"	"2896435919"	"3653344010"	"3306237628"	"3716522691"	""
"Belarus"	"BLR"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"15194000000"	"18895800000"	"23309600000"	"31627400000"	"20595400000"	"24506100000"	"40927600000"	"45574300000"	"36540100000"	""
