"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Belarus","BLR","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6699000","14958000","18776000","8168000","1792000","2568000","2159000","1645000","2379000","910000","58000","0","858000","4254000","2362000","1561000","3015000","4239000","4400000","3709000","",
"Belize","BLZ","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","26000","353000","16000","296000","397000","603000","324000","456000","0","18000","953000","1019000","299000","0","0","0","0","0","0","55000","99000","55000","1816000","1827000","1569000","1401000","1383000","1097000","870000","13317000","",
"Bermuda","BMU","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","0","0","258000","258000","258000","258000","258000","258000","294000","1887000","458000","7520000","36368000","58482000","141431000","237443000","288808000","326533000","6660000","5038000","4148000","9519000","8649000","10461000","12678000","13253000","12079000","0","0","61000","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Brazil","BRA","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","0","0","47000","55000","61000","1105000","2543000","9969000","9649000","8821000","13076000","29437000","31217000","55056000","57754000","76192000","86066000","3067970000","85296000","2919018000","8457835000","9766105000","3952406000","5845492000","510379000","361048000","1024181000","541068000","1427380000","116483000","69749000","8000","8000","244000","5000","0","4000","25000","66000","51000","134000","231000","208000","",
"Barbados","BRB","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Botswana","BWA","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1268000","1717000","2083000","2991000","5496000","6007000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Sub-Saharan Africa (IFC classification)","CAA","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","0","0","286000","495000","980000","1661000","3146000","4469000","4789000","7085000","8842000","2406000","2693000","2019000","1085000","768000","775000","817000","985000","1343000","1927000","1859000","3286000","3742000","1528000","4042000","1290000","1240000","848000","1350000","1347000","1345000","2661000","6917000","7038000","6989000","7027000","7069000","7047000","7060000","7031000","16347000","16361000","",
"Canada","CAN","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia and the Pacific (IFC classification)","CEA","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Cote d'Ivoire","CIV","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","46156000","8648000","7790000","28843000","124777000","398002000","583040000","753442000","847764000","876656000","872338000","915366000","985924000","946998000","9154000","8800000","7997000","8200000","159564000","206774000","244541000","223983000","252950000","318301000","389562000","423396000","26694000","375000","375000","4762000","",
