"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Belarus","BLR","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234000","0","0","1506000","1214000","3772000","6761000","12186000","2337000","0","1763000","0","0","0","0","0","0","0","0","0","",
"Belize","BLZ","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","168000","404000","766000","1602000","247000","609000","369000","428000","310000","433000","592000","807000","982000","1198000","251000","609000","14000","0","0","0","0","845000","884000","1252000","5040000","5960000","5704000","6083000","8126000","5813000","6948000","5233000","",
"Bermuda","BMU","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","125000","0","0","0","0","0","35000","3886000","2046000","4304000","15016000","18865000","30556000","71609000","76471000","86723000","105166000","44882000","2154000","5257000","2109000","3338000","21427000","7030000","13624000","3478000","3055000","2526000","2436000","0","0","0","0","0","0","0","0","0","0","0","0","",
"Brazil","BRA","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","446000","1945000","1207000","3120000","12011000","35211000","57304000","75102000","84210000","268692000","332309000","750867000","338706000","2074132000","1614086000","1184612000","902520000","813015000","246168000","148204000","106591000","0","0","0","19000","0","8000","71000","30000","43000","0","0","0","",
"Barbados","BRB","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","263000","492000","591000","707000","704000","576000","0","0","0","0","0","0","0","0","0","4476000","0","0","0","0","0","0","0","",
"Botswana","BWA","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","122000","0","0","0","0","0","0","112000","1057000","556000","459000","1310000","1717000","1021000","1567000","2332000","207000","12000","0","0","0","0","0","0","0","0","0","0","0","2000","0","0","0","0","",
"Sub-Saharan Africa (IFC classification)","CAA","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","250000","402000","464000","516000","1053000","1630000","2424000","983000","1739000","3155000","4752000","2921000","217000","307000","500000","6060000","11593000","15646000","13116000","16395000","24921000","35340000","23736000","31681000","37184000","43600000","43322000","22181000","24708000","24575000","44201000","85295000","83832000","90599000","83614000","65592000","66578000","70659000","70684000","54746000","56907000","",
"Canada","CAN","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia and the Pacific (IFC classification)","CEA","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Cote d'Ivoire","CIV","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","6000","87000","323000","580000","898000","8188000","2043000","6444000","10090000","15150000","58215000","174539000","65951000","78207000","166111000","378751000","45366000","33836000","5904000","77968000","0","0","70369000","196945000","60476000","114878000","464677000","595301000","691235000","1065139000","920510000","71736000","6583000","4134000","467000","",
"Latin America and the Caribbean (IFC classification)","CLA","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","12000","51000","1193000","653000","0","416000","145000","291000","2825000","2501000","2708000","3267000","3159000","3972000","6730000","15577000","46544000","16520000","86092000","208269000","186625000","357781000","134230000","247282000","642218000","77748000","7387000","7142000","88875000","50504000","22999000","14985000","9907000","0","6069000","692000","570000","2532000","8578000","2278000","23904000","",
"Congo, Rep.","COG","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","819000","1480000","1777000","1758000","3334000","6557000","6056000","3202000","2158000","1975000","629000","2152000","6029000","5788000","11723000","58502000","127788000","209344000","73229000","193355000","355348000","489976000","148326000","305638000","127363000","199913000","315185000","391063000","468827000","525565000","662568000","815067000","172079000","130982000","132604000","79054000","79890000","59211000","58106000","42938000","42601000","",
"Colombia","COL","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","1216000","18000","64000","17128000","9610000","10247000","11037000","7695000","54000","47000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
